filename	lat	lon	Rrs_412	Rrs_443	Rrs_490	Rrs_510	Rrs_555	Rrs_670
S1999123150120.L2_MLAC.hdf	-35.0843	-51.6731	0.00708667	0.00719	0.00665533	0.0053958	0.0041131	0.0025011
S1999149125127.L2_MLAC.hdf	34.3635	-20.7876	0.0103284	0.00943311	0.00744111	0.0053138	0.0037636	0.0022107
S1998104172439.L2_MLAC.hdf	30.85	-80.764	0.00666733	0.00718356	0.007606	0.0076944	0.00778	0.0061404
S1998117171242.L2_MLAC.hdf	32.9143	-79.2748	0.0123767	0.012492	0.0127229	0.0127309	0.0130004	0.0087033
S1998117171242.L2_MLAC.hdf	32.864	-79.4731	0.0134558	0.0136878	0.0140964	0.0141127	0.0142189	0.0096164
S1997280161810.L2_MLAC.hdf	31.654	-64.126	0.0140251	0.0127053	0.0101693	0.0079029	0.0062516	0.0044113
S1999214163307.L2_MLAC.hdf	32.0805	-64.4548	0.0124222	0.011114	0.00847044	0.0060829	0.0045844	0.0032762
S2001254162732.L2_MLAC.hdf	32.0816	-64.4652	0.0121442	0.0108542	0.00819645	0.0057709	0.0041436	0.0026658
S2003092162315.L2_MLAC.hdf	32.2519	-64.2636	0.00881645	0.00863511	0.00781378	0.0065733	0.0052496	0.0034987
S2003195160108.L2_MLAC.hdf	32.0125	-64.6339	0.0117689	0.0106336	0.00802378	0.0056178	0.0040727	0.0025818
S2003196164211.L2_MLAC.hdf	31.6558	-64.28	0.0119256	0.0104776	0.00739711	0.0048153	0.0031042	0.0017213
S2003265161310.L2_MLAC.hdf	31.8053	-64.7313	0.0125245	0.0111685	0.0088805	0.006611	0.0054115	0.0038308
S2002280100052.L2_MLAC.hdf	-32.576	18.0938	0.002308	0.00282556	0.00325556	0.00339	0.0036771	0.0020613
S2002288103644.L2_MLAC.hdf	-29.6474	16.7643	0.00341956	0.00367245	0.004064	0.0042964	0.0048691	0.00281
S2002288103644.L2_MLAC.hdf	-29.6498	16.8546	0.00277111	0.00299311	0.00323956	0.0034164	0.0041404	0.0026502
S2001120175335.L2_MLAC.hdf	38	-76.1997	0.00563267	0.00651467	0.00724089	0.0077633	0.0091887	0.0057091
S2001121165735.L2_MLAC.hdf	37.27	-76.1508	0.00709489	0.00771311	0.00872178	0.0092916	0.0111469	0.0056091
S2001276172039.L2_MLAC.hdf	37.9198	-76.1851	0.00936422	0.00955689	0.00975911	0.0100687	0.0107276	0.006862
S2001276172039.L2_MLAC.hdf	37.5813	-76.1667	0.00915022	0.00954422	0.0102149	0.0107467	0.0116553	0.006924
S2003276171004.L2_MLAC.hdf	37.93	-76.1788	0.00144489	0.00199267	0.00278645	0.0032827	0.0047318	0.0023747
S2000059163939.L2_MLAC.hdf	23.8916	-76.0891	0.0116316	0.0113416	0.00965933	0.0076982	0.0058729	0.0036427
S2001054164638.L2_MLAC.hdf	23.8921	-76.1816	0.0102336	0.0100711	0.00850178	0.0062607	0.0043087	0.0023264
S2001059170407.L2_MLAC.hdf	23.9115	-76.1028	0.0129658	0.0123396	0.009994	0.0076691	0.0057667	0.0034911
S2002061210030.L2_MLAC.hdf	37.8668	-123.041	0.00184845	0.00205956	0.00244489	0.0027924	0.0034084	0.0014449
S2000102200654.L2_MLAC.hdf	31.087	-122.665	0.00748622	0.00783667	0.00755444	0.005774	0.0039867	0.0020462
S2002316200450.L2_MLAC.hdf	31.187	-120.917	0.00447511	0.00478311	0.00467933	0.0035671	0.0023227	0.0009611
S2002319203015.L2_MLAC.hdf	32.423	-119.965	0.00445045	0.00486667	0.00467289	0.0036216	0.002294	0.0008742
S1997263200238.L2_GAC	32.912	-117.393	0.00529711	0.00518845	0.00518733	0.0042858	0.0032356	0.0016316
S1997270202052.L2_GAC	33.325	-119.667	0.00589711	0.00610956	0.00632156	0.0059256	0.0051387	0.0028749
S1998030195533.L2_MLAC.hdf	33.327	-119.662	0.00388067	0.00437044	0.00482022	0.0045429	0.0038264	0.0019133
S1998267202734.L2_MLAC.hdf	34.273	-120.018	0.00582311	0.006012	0.00590445	0.0053513	0.0044867	0.0026009
S1998270210316.L2_MLAC.hdf	34.897	-121.198	0.00487289	0.00541667	0.00558311	0.0048544	0.0039076	0.0022487
S1999069075814.L2_MLAC.hdf	17.3623	68.475	0.00578289	0.00583689	0.00555067	0.0044938	0.0034287	0.0021416
S1999070070352.L2_MLAC.hdf	17.024	67.0116	0.00598845	0.00627756	0.00644867	0.0055956	0.0046927	0.0031762
S1998071155307.L2_GAC	10.485	-64.665	0.00294778	0.002938	0.00303045	0.0030471	0.0034389	0.0018656
S1998314160028.L2_MLAC.hdf	10.5	-64.67	0.00565445	0.00564244	0.00533778	0.0041156	0.0029849	0.0013949
S1999126153550.L2_MLAC.hdf	10.5	-64.67	0.010054	0.010412	0.0104656	0.0097447	0.0088176	0.0067244
S1999341163429.L2_MLAC.hdf	10.5	-64.67	0.00587245	0.00607578	0.005704	0.0043607	0.0030871	0.0014476
S2000189155743.L2_MLAC.hdf	10.5	-64.67	0.00571333	0.00629978	0.00661667	0.0063784	0.0062273	0.0046978
S2000284155209.L2_MLAC.hdf	10.5	-64.67	0.00757956	0.00729978	0.00687156	0.0055967	0.0043411	0.0024656
S2001047164153.L2_MLAC.hdf	10.5	-64.67	0.00319667	0.00320467	0.00324978	0.0032424	0.0034507	0.0022156
S2001073153422.L2_MLAC.hdf	10.5	-64.67	0.00759733	0.007636	0.00754467	0.0074384	0.007682	0.006138
S2001191155350.L2_MLAC.hdf	10.5	-64.67	0.00697289	0.00733445	0.00749844	0.0068342	0.0061271	0.0043296
S2001282164041.L2_MLAC.hdf	10.5	-64.67	0.00818067	0.00839267	0.00808622	0.0072596	0.0061596	0.0041322
S2002045163414.L2_GAC	10.5	-64.67	0.00377356	0.00390045	0.00405422	0.0041107	0.0042249	0.0025842
S2002163160702.L2_MLAC.hdf	10.5	-64.67	0.0096455	0.010676	0.0111278	0.0104527	0.0098075	0.0081585
S2003070160947.L2_MLAC.hdf	10.5	-64.67	0.00802156	0.00874133	0.00926067	0.0093398	0.009724	0.0078289
S2003253161350.L2_MLAC.hdf	10.5	-64.67	0.00729556	0.00752111	0.00737333	0.0064811	0.0055113	0.0037104
S2003343165416.L2_MLAC.hdf	10.5	-64.67	0.00725311	0.00719622	0.00715489	0.0057189	0.0045547	0.0028978
S2001051161622.L2_MLAC.hdf	17.6	-67	0.00780311	0.00730933	0.00632511	0.0045409	0.0030573	0.0015856
S1998015165312.L2_MLAC.hdf	17.6	-67	0.00878311	0.00820156	0.00695556	0.0052369	0.003556	0.0021258
S2000060172302.L2_MLAC.hdf	36.9	-75.71	0.00187267	0.00273089	0.00387467	0.0039691	0.003728	0.0008967
S2000064170148.L2_MLAC.hdf	36.9	-75.71	0.00393045	0.00468267	0.00556911	0.0054944	0.0049587	0.0021693
S2000068164037.L2_MLAC.hdf	36.9	-75.71	0.0114242	0.0117464	0.0118531	0.011408	0.01051	0.0069322
S2000075165134.L2_MLAC.hdf	36.9	-75.71	0.00413089	0.00473645	0.005434	0.0052364	0.0046156	0.0021993
S2000084165058.L2_MLAC.hdf	36.9	-75.71	0.00801711	0.00886689	0.0101287	0.0100822	0.009716	0.0046729
S2001136174721.L2_MLAC.hdf	30.271	-88.746	0.00638822	0.00691445	0.00775111	0.0084153	0.0102876	0.0061709
S2001136174721.L2_MLAC.hdf	30.291	-88.646	0.00793956	0.00922067	0.0115969	0.0130267	0.0170893	0.0113204
S2001138173412.L2_MLAC.hdf	30.337	-88.332	0.00789167	0.00851	0.00912267	0.010439	0.013142	0.0081027
S2001146182031.L2_MLAC.hdf	29.796	-86.913	0.00757044	0.00805511	0.00792467	0.0069689	0.0057296	0.0036247
S2001147172432.L2_MLAC.hdf	28.928	-85.691	0.0129431	0.0122327	0.01063	0.0088093	0.007038	0.004556
S2001147172432.L2_MLAC.hdf	28.925	-85.496	0.0135396	0.0127871	0.0113038	0.0095496	0.0077182	0.0050576
S2001147172432.L2_MLAC.hdf	28.932	-85.299	0.0122649	0.0117058	0.0105753	0.0089124	0.0072149	0.0046038
S2001148180726.L2_MLAC.hdf	29.142	-83.762	0.00497267	0.00548	0.00619267	0.0053424	0.0041404	0.001896
S2001148180726.L2_MLAC.hdf	29.241	-83.836	0.00590133	0.00653867	0.00728778	0.0066747	0.0057393	0.0036916
S2001148180726.L2_MLAC.hdf	29.345	-83.901	0.00577111	0.00646778	0.00712756	0.0064731	0.0052102	0.0029671
S2001148180726.L2_MLAC.hdf	29.408	-83.702	0.00489534	0.00561645	0.00670867	0.0063371	0.0056358	0.0026482
S2001148180726.L2_MLAC.hdf	29.462	-83.564	0.00522578	0.00597378	0.00729267	0.0073251	0.0071658	0.0033618
S2001247180241.L2_MLAC.hdf	30.1346	-88.2492	0.00432756	0.00476311	0.00541245	0.005598	0.0059862	0.0031204
S2001247180241.L2_MLAC.hdf	30.2243	-88.2427	0.006421	0.0071835	0.00857975	0.0093768	0.0113268	0.0060065
S2001337174741.L2_MLAC.hdf	30.001	-88.2436	0.00619556	0.00762311	0.00981378	0.0096784	0.0088913	0.0024618
S2001337174741.L2_MLAC.hdf	30.1343	-88.0849	0.00380067	0.00476689	0.00668689	0.0076911	0.0100553	0.0044971
S2001337174741.L2_MLAC.hdf	30.2244	-88.2415	0.00425689	0.005568	0.00787667	0.0086282	0.0097589	0.0032649
S2001337174741.L2_MLAC.hdf	30.0763	-88.4388	0.00576089	0.00730356	0.00959689	0.009588	0.0089427	0.0024242
S2001339173341.L2_MLAC.hdf	30.0285	-88.2461	0.0171743	0.0180843	0.018906	0.0185123	0.0176987	0.0104787
S2001339173341.L2_MLAC.hdf	30.1382	-88.4381	0.0155203	0.016166	0.016954	0.0166343	0.0158374	0.009806
S2001340181810.L2_MLAC.hdf	30.0279	-88.2419	0.009054	0.0106878	0.0129316	0.0130849	0.0126158	0.0059862
S2001340181810.L2_MLAC.hdf	30.1296	-88.2447	0.00769156	0.00922378	0.0114131	0.0123213	0.0134609	0.006944
S2001340181810.L2_MLAC.hdf	30.075	-88.4399	0.00761	0.00907889	0.010978	0.011212	0.010886	0.005464
S2001340181810.L2_MLAC.hdf	30.1378	-88.4377	0.00693756	0.00810867	0.00980222	0.0103273	0.0106773	0.0055907
S2001340181810.L2_MLAC.hdf	30.1824	-88.4385	0.00705857	0.00829143	0.010244	0.010952	0.0118746	0.0061457
S2002064180937.L2_MLAC.hdf	30.1978	-88.6682	0.00291289	0.004482	0.00709689	0.0083516	0.0103391	0.0035489
S2002064180937.L2_MLAC.hdf	30.1255	-88.6693	0.00360045	0.005378	0.00838111	0.0095096	0.0110202	0.0032942
S2002064180937.L2_MLAC.hdf	30.138	-88.4372	0.00342067	0.00508933	0.00791556	0.0090758	0.0108309	0.00339
S2002064180937.L2_MLAC.hdf	30.0742	-88.437	0.00414533	0.00622467	0.009506	0.010514	0.0114749	0.0031678
S2002140181645.L2_MLAC.hdf	30.1864	-88.3278	0.005304	0.00637822	0.00798267	0.0090111	0.0109549	0.0052971
S2002140181645.L2_MLAC.hdf	30.268	-88.3716	0.00616822	0.00762333	0.0102122	0.0117409	0.0150547	0.0076242
S2002140181645.L2_MLAC.hdf	30.2626	-88.4359	0.00650645	0.00811733	0.0108831	0.0124602	0.0158287	0.0082524
S2002141171933.L2_MLAC.hdf	30.3013	-88.517	0.0107522	0.0118244	0.0138793	0.0147807	0.017218	0.0106327
S2002142180110.L2_MLAC.hdf	30.291	-88.001	0.00576422	0.00661089	0.00812022	0.009388	0.0126113	0.0063333
S2002142180110.L2_MLAC.hdf	30.281	-88.0528	0.00571778	0.00662467	0.00838178	0.0097042	0.013192	0.0069113
S2000011173647.L2_MLAC.hdf	27.5028	-82.8846	0.00478133	0.00680378	0.0101269	0.0096847	0.0080833	0.0020984
S2000011173647.L2_MLAC.hdf	27.4649	-82.9632	0.00415111	0.00553711	0.00762533	0.0066204	0.0047222	0.0015011
S2000011173647.L2_MLAC.hdf	27.4265	-83.0501	0.00426333	0.00513378	0.00627444	0.0051996	0.003526	0.0013416
S2000011173647.L2_MLAC.hdf	27.3878	-83.1372	0.00430911	0.00491289	0.00547333	0.0044191	0.0029713	0.0012738
S2000011173647.L2_MLAC.hdf	27.3514	-83.2176	0.00428645	0.00480356	0.00522022	0.0041956	0.0028558	0.0011998
S2000011173647.L2_MLAC.hdf	27.3118	-83.3017	0.00434889	0.004788	0.004954	0.0039282	0.0026396	0.0011224
S2000011173647.L2_MLAC.hdf	27.2738	-83.3866	0.00438645	0.00483333	0.00493245	0.0039131	0.0026218	0.0010842
S2000011173647.L2_MLAC.hdf	27.2354	-83.4692	0.00435311	0.00474756	0.00490311	0.0038651	0.0025709	0.0010598
S2001037174524.L2_MLAC.hdf	27.4662	-82.7539	0.00427111	0.00629022	0.0102378	0.0110762	0.0124187	0.0023833
S2001037174524.L2_MLAC.hdf	27.3904	-82.7117	0.003786	0.00554533	0.00865845	0.0095242	0.0105982	0.0022624
S2001037174524.L2_MLAC.hdf	27.318	-82.669	0.00428689	0.00629689	0.00977267	0.0107076	0.0116782	0.0023789
S2000061180841.L2_MLAC.hdf	27.502	-82.883	0.00580333	0.00743356	0.0102067	0.0094776	0.0077871	0.0022716
S2000061180841.L2_MLAC.hdf	27.464	-82.963	0.00644022	0.00763178	0.00913334	0.0075449	0.0051976	0.0018542
S2000061180841.L2_MLAC.hdf	27.427	-83.05	0.00682489	0.00742267	0.00795311	0.0061473	0.0039029	0.0017169
S2000061180841.L2_MLAC.hdf	27.388	-83.134	0.00683378	0.00714178	0.00712422	0.0054167	0.0035118	0.001654
S2000061180841.L2_MLAC.hdf	27.352	-83.218	0.00678578	0.00707133	0.006866	0.0051678	0.00337	0.0016222
S2000061180841.L2_MLAC.hdf	27.312	-83.302	0.00674556	0.00687733	0.00658467	0.0050164	0.0033647	0.0016429
S2000062171224.L2_MLAC.hdf	26.728	-83.804	0.00889845	0.00856133	0.00776622	0.0062491	0.0048416	0.0029116
S2000062171224.L2_MLAC.hdf	26.768	-83.723	0.00837156	0.00805422	0.00741667	0.005954	0.004556	0.0026869
S2000062171224.L2_MLAC.hdf	26.807	-83.638	0.00835245	0.00808822	0.00752556	0.0060811	0.0046971	0.0028313
S2000062171224.L2_MLAC.hdf	26.849	-83.559	0.00763311	0.00751	0.00709578	0.0056033	0.0040744	0.0022651
S2000063175609.L2_MLAC.hdf	26.16	-82.872	0.00751467	0.00752889	0.00723311	0.005662	0.0039873	0.0021138
S2000063175609.L2_MLAC.hdf	26.129	-82.959	0.007258	0.00727067	0.00704111	0.0054811	0.0038204	0.0019896
S2000063175609.L2_MLAC.hdf	27.394	-82.713	0.00846089	0.00995422	0.0126882	0.0124936	0.0117293	0.0047911
S2000063175609.L2_MLAC.hdf	26.097	-83.044	0.00696133	0.00693956	0.00655067	0.0051784	0.0036284	0.0018209
S2000063175609.L2_MLAC.hdf	27.241	-82.627	0.00902311	0.0109162	0.0137249	0.0127307	0.0107909	0.0043482
S2000063175609.L2_MLAC.hdf	26.147	-83.161	0.00702711	0.00691422	0.00645178	0.0050531	0.003532	0.0017456
S2000063175609.L2_MLAC.hdf	27.089	-82.546	0.00950489	0.011326	0.0141816	0.012946	0.0107804	0.0044587
S2000063175609.L2_MLAC.hdf	26.226	-83.188	0.00697489	0.00678556	0.00639311	0.0051404	0.0036787	0.0018967
S1999060174525.L2_MLAC.hdf	27.5427	-82.7977	0.00677489	0.0101693	0.0163102	0.0178636	0.0198042	0.0050282
S1999060174525.L2_MLAC.hdf	27.4627	-82.9656	0.00549467	0.00743778	0.0103096	0.0092198	0.0068467	0.0013
S1999060174525.L2_MLAC.hdf	27.3877	-83.1341	0.00403711	0.00499911	0.00587911	0.0046456	0.0029564	0.00084
S2001094172604.L2_MLAC.hdf	26.7699	-83.7236	0.0108791	0.0110724	0.0106696	0.0094682	0.0081102	0.0056971
S2001094172604.L2_MLAC.hdf	26.8503	-83.5606	0.0107644	0.0108651	0.010316	0.0089962	0.0076076	0.0053578
S2001094172604.L2_MLAC.hdf	26.9319	-83.3954	0.0103702	0.0106116	0.0104182	0.0092693	0.0078936	0.0053256
S2001095180901.L2_MLAC.hdf	26.1288	-82.96	0.0132158	0.0132862	0.0125996	0.0113291	0.0097529	0.0071449
S2001095180901.L2_MLAC.hdf	26.0671	-83.1332	0.0154987	0.015654	0.0145693	0.0132753	0.011498	0.0087523
S2001156171457.L2_MLAC.hdf	27.5417	-82.8	0.0122811	0.0136253	0.0163642	0.0172224	0.019018	0.0088738
S2001156171457.L2_MLAC.hdf	27.5036	-82.8845	0.0117524	0.0128271	0.0148849	0.0144627	0.0136242	0.0085536
S2001156171457.L2_MLAC.hdf	27.4666	-82.9645	0.010688	0.0115938	0.0133182	0.0124996	0.011338	0.0078544
S2001156171457.L2_MLAC.hdf	27.4284	-83.0518	0.0113806	0.0119003	0.0126989	0.0118831	0.0109706	0.0086386
S2001158170149.L2_MLAC.hdf	26.0666	-83.1321	0.0129005	0.0119543	0.0106052	0.0088285	0.0074423	0.005686
S1999186171247.L2_MLAC.hdf	27.4647	-82.9678	0.011516	0.0122144	0.0138688	0.013462	0.0127256	0.008288
S1999186171247.L2_MLAC.hdf	27.4287	-83.0521	0.0100298	0.0107276	0.0119364	0.0112904	0.0103302	0.0069504
S1999186171247.L2_MLAC.hdf	27.3899	-83.1363	0.011166	0.011841	0.012644	0.011846	0.0109077	0.0082663
S1999187175719.L2_MLAC.hdf	26.8073	-83.645	0.00874267	0.00840444	0.00762	0.0060073	0.0047793	0.0033582
S1999187175719.L2_MLAC.hdf	26.8506	-83.5621	0.00816245	0.00771622	0.00673178	0.0050696	0.0036182	0.0021876
S1999187175719.L2_MLAC.hdf	26.8909	-83.4798	0.00789044	0.00754822	0.00663733	0.0050158	0.0035567	0.0022044
S1999187175719.L2_MLAC.hdf	26.9326	-83.3975	0.007214	0.00691911	0.006106	0.0044951	0.0030567	0.0016924
S1999187175719.L2_MLAC.hdf	26.9736	-83.3159	0.00705267	0.00669645	0.00598245	0.0042836	0.0028507	0.0014427
S1999188170252.L2_MLAC.hdf	26.1296	-82.9609	0.00831	0.00793933	0.007398	0.0057	0.0041289	0.0026742
S1999188170252.L2_MLAC.hdf	26.1609	-82.8746	0.00730644	0.00686022	0.00633467	0.0045109	0.0029471	0.0013213
S1999188170252.L2_MLAC.hdf	26.1904	-82.788	0.007424	0.00701045	0.00667533	0.0047322	0.0029844	0.0012607
S1999188170252.L2_MLAC.hdf	26.2233	-82.7017	0.00721022	0.00691511	0.00688422	0.0049162	0.0030458	0.001176
S1999188170252.L2_MLAC.hdf	26.255	-82.6169	0.00706756	0.00702845	0.00715644	0.0053876	0.0035742	0.0013271
S1999188170252.L2_MLAC.hdf	26.2855	-82.5293	0.00636956	0.00669689	0.00750733	0.006014	0.0042562	0.0013916
S2000216173022.L2_MLAC.hdf	26.932	-83.398	0.0114813	0.0114438	0.0110512	0.009695	0.0085038	0.0071805
S2000216173022.L2_MLAC.hdf	27.011	-83.234	0.0110853	0.0106844	0.00994778	0.008302	0.0070627	0.0056173
S2000216173022.L2_MLAC.hdf	27.095	-83.069	0.00935445	0.00998667	0.0105491	0.0094764	0.0083462	0.0065169
S2000216173022.L2_MLAC.hdf	27.175	-82.903	0.00780045	0.008588	0.00968889	0.0092616	0.0085804	0.0058151
S2001240175857.L2_MLAC.hdf	27.503	-82.884	0.0175649	0.0175907	0.017324	0.0168871	0.0162713	0.0103393
S2001240175857.L2_MLAC.hdf	27.464	-82.964	0.0161167	0.015988	0.0154698	0.0147533	0.0134702	0.0088153
S2001240175857.L2_MLAC.hdf	27.426	-83.051	0.0162884	0.0159409	0.0151231	0.0141496	0.0125518	0.0084389
S2001240175857.L2_MLAC.hdf	27.389	-83.135	0.0176162	0.0172651	0.0162644	0.0151204	0.0133909	0.0091887
S2001240175857.L2_MLAC.hdf	27.352	-83.218	0.0193091	0.018676	0.0174131	0.0157249	0.0136524	0.0096676
S2001240175857.L2_MLAC.hdf	27.313	-83.302	0.0205847	0.01972	0.0179984	0.0160387	0.0138091	0.0099771
S2001240175857.L2_MLAC.hdf	27.275	-83.386	0.0209791	0.0201302	0.0184127	0.0165716	0.0144396	0.0105076
S2001240175857.L2_MLAC.hdf	27.236	-83.469	0	0	0	0	0	0
S2001241170259.L2_MLAC.hdf	27.012	-83.233	0.0180789	0.017372	0.0160111	0.0142116	0.0124167	0.0091022
S2001241170259.L2_MLAC.hdf	27.093	-83.069	0.0170022	0.0166538	0.0157904	0.0142802	0.0125571	0.0090022
S2001241170259.L2_MLAC.hdf	27.174	-82.905	0.0167264	0.0166082	0.0161342	0.0149909	0.0135207	0.009536
S2001241170259.L2_MLAC.hdf	27.216	-82.821	0.0154867	0.0153933	0.0151649	0.0140822	0.0125593	0.0086764
S2001241170259.L2_MLAC.hdf	27.258	-82.739	0.0149609	0.0148871	0.0150491	0.0142958	0.0132471	0.0083424
S2001242174553.L2_MLAC.hdf	26.367	-83.009	0.00750022	0.00704844	0.00650911	0.0048633	0.0033967	0.0018782
S2000279171014.L2_MLAC.hdf	27.1751	-82.9054	0.00663689	0.00695156	0.00746778	0.0065144	0.0052482	0.002192
S2000279171014.L2_MLAC.hdf	27.2159	-82.8227	0.00623467	0.00666711	0.00753867	0.0067231	0.0056178	0.0023524
S2000280175324.L2_MLAC.hdf	26.9374	-83.4541	0.0106853	0.010071	0.00879033	0.0072307	0.0058323	0.0039197
S2001274173351.L2_MLAC.hdf	27.4653	-82.7536	0.003448	0.00388711	0.00452667	0.0049504	0.0065178	0.0036996
S1999311173027.L2_MLAC.hdf	26.2505	-82.618	0.00819733	0.00894489	0.0102049	0.009718	0.0089456	0.005536
S1999311173027.L2_MLAC.hdf	26.2199	-82.7033	0.00823289	0.00893778	0.00983267	0.0094242	0.0084611	0.0053087
S2002192162836.L2_MLAC.hdf	42.3545	-67.6102	0.00459067	0.00508778	0.00562778	0.0053109	0.0045238	0.0026391
S1999042173351.L2_MLAC.hdf	32.5624	-79.8273	0.00799689	0.00887867	0.0102071	0.0102422	0.0099647	0.004642
S1999042173351.L2_MLAC.hdf	32.2733	-80.006	0.0105322	0.0112929	0.01169	0.0107413	0.0089369	0.0057436
S1999042173351.L2_MLAC.hdf	32.0758	-80.1232	0.0104833	0.010997	0.0113798	0.010043	0.0080035	0.00487
S1999046171443.L2_MLAC.hdf	29.9331	-81.0689	0.00470733	0.00507156	0.00558222	0.0056031	0.00544	0.0030093
S2001283122655.L2_MLAC.hdf	43.874	-9.48	0.00366467	0.00389045	0.00389845	0.0033544	0.0025716	0.0013931
S2001283122655.L2_MLAC.hdf	43.683	-9.628	0.00348622	0.00369133	0.00383578	0.0034553	0.0028124	0.0015251
S2001284130939.L2_MLAC.hdf	39.524	-13.058	0.00792	0.008324	0.00789378	0.0066509	0.0054844	0.0039776
S2001284130939.L2_MLAC.hdf	39.401	-13.168	0.00781867	0.00825133	0.00782911	0.0065807	0.0053669	0.0038271
S2001284130939.L2_MLAC.hdf	39.087	-13.419	0.009356	0.00963156	0.00913711	0.0078813	0.006752	0.0052362
S2001306135922.L2_MLAC.hdf	-4.671	-34.186	0.0145389	0.0133518	0.0114727	0.0093167	0.0078844	0.0065864
S2001306135922.L2_MLAC.hdf	-4.844	-34.204	0.0147233	0.0134573	0.0114353	0.0091833	0.007792	0.0064793
S2001313140047.L2_MLAC.hdf	-29.18	-44.182	0.012018	0.010978	0.00958178	0.0077329	0.0064189	0.0051493
S2002070140628.L2_MLAC.hdf	-42.4345	-56.3325	0.00301422	0.00324489	0.00349022	0.0029744	0.0022669	0.000918
S2002071144814.L2_MLAC.hdf	-37.356	-54.797	0.002846	0.00321089	0.00335822	0.0028327	0.0020418	0.0008416
S2002071144814.L2_MLAC.hdf	-37.238	-54.809	0.003256	0.00357133	0.00369422	0.0031613	0.0023182	0.0010707
S2002071144814.L2_MLAC.hdf	-36.934	-54.835	0.00371267	0.00413	0.00419756	0.0035696	0.0027084	0.0013918
S2002071144814.L2_MLAC.hdf	-36.782	-54.85	0.00367244	0.00405	0.00422667	0.0037162	0.0029549	0.0016473
S2002077140234.L2_MLAC.hdf	-26.754	-42.393	0.0105196	0.00892511	0.00738489	0.0054447	0.0039098	0.0023498
S2002090131231.L2_MLAC.hdf	-10.553	-18.955	0.0121316	0.0103444	0.00786045	0.0056002	0.0040404	0.0026896
S2002109131418.L2_MLAC.hdf	29.966	-17.693	0.00815378	0.00809067	0.00721756	0.0054458	0.0039062	0.0024518
S2002109131418.L2_MLAC.hdf	29.967	-17.711	0.00818445	0.00811711	0.00721156	0.0054244	0.0039069	0.0024556
S2002111125849.L2_MLAC.hdf	35.441	-14.318	0.00939222	0.00950467	0.00905689	0.007622	0.006138	0.0041311
S2002111125849.L2_MLAC.hdf	35.561	-14.25	0.00962222	0.00976578	0.00912778	0.0076611	0.0061664	0.0041956
S2002111125849.L2_MLAC.hdf	35.8	-14.111	0.00934445	0.00951067	0.00888267	0.0075753	0.0061636	0.0042644
S2002111125849.L2_MLAC.hdf	35.918	-14.041	0.00967111	0.00984956	0.00926889	0.0078482	0.0063273	0.0042713
S2002113124317.L2_MLAC.hdf	40.996	-10.963	0.00716778	0.00729822	0.00758267	0.007274	0.0062896	0.0031291
S2001050153325.L2_MLAC.hdf	11.4023	-54.9875	0.00777689	0.00764622	0.00721111	0.005742	0.0044382	0.0030511
S1999190034112.L2_MLAC.hdf	39.997	138.002	0.00699222	0.00713289	0.00673422	0.0056913	0.0044036	0.0026289
S2002204163422.L2_MLAC.hdf	42.2588	-70.638	0.017422	0.0170549	0.0162973	0.0158924	0.0154793	0.010428
